booking_id,hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,stays_in_week_nights,stays_in_weekend_nights,total_nights,adr
0,Resort Hotel,342,2015,July,27,0,0,0,0.0
1,Resort Hotel,365,2015,July,27,0,0,0,0.0
2,Resort Hotel,7,2015,July,27,1,0,1,75.0
3,Resort Hotel,13,2015,July,27,1,0,1,75.0
4,Resort Hotel,14,2015,July,27,2,0,2,98.0
5,Resort Hotel,0,2015,July,27,2,0,2,107.0
6,Resort Hotel,9,2015,July,27,2,0,2,103.0
7,Resort Hotel,85,2015,July,27,3,0,3,82.0
8,Resort Hotel,75,2015,July,27,3,0,3,105.5
9,Resort Hotel,23,2015,July,27,4,0,4,123.0
10,Resort Hotel,35,2015,July,27,4,0,4,145.0
11,Resort Hotel,68,2015,July,27,4,0,4,97.0
12,Resort Hotel,18,2015,July,27,4,0,4,154.77
13,Resort Hotel,37,2015,July,27,4,0,4,94.71
14,Resort Hotel,68,2015,July,27,4,0,4,97.0
15,Resort Hotel,37,2015,July,27,4,0,4,97.5
16,Resort Hotel,12,2015,July,27,1,0,1,88.2
17,Resort Hotel,0,2015,July,27,1,0,1,107.42
18,Resort Hotel,7,2015,July,27,4,0,4,153.0
19,Resort Hotel,37,2015,July,27,4,1,5,97.29
20,Resort Hotel,72,2015,July,27,4,2,6,84.67
21,Resort Hotel,72,2015,July,27,4,2,6,99.67
22,Resort Hotel,127,2015,July,27,5,2,7,94.95
23,Resort Hotel,78,2015,July,27,5,2,7,63.6
24,Resort Hotel,48,2015,July,27,5,2,7,79.5
25,Resort Hotel,60,2015,July,27,5,2,7,107.0
26,Resort Hotel,77,2015,July,27,5,2,7,94.0
27,Resort Hotel,99,2015,July,27,5,2,7,87.3
28,Resort Hotel,118,2015,July,27,10,4,14,62.0
29,Resort Hotel,95,2015,July,27,11,4,15,63.86
30,Resort Hotel,96,2015,July,27,8,2,10,108.3
31,Resort Hotel,69,2015,July,27,4,2,6,65.5
32,Resort Hotel,45,2015,July,27,3,1,4,108.8
33,Resort Hotel,40,2015,July,27,3,1,4,108.8
34,Resort Hotel,15,2015,July,27,3,1,4,98.0
35,Resort Hotel,36,2015,July,27,3,1,4,108.8
36,Resort Hotel,43,2015,July,27,3,1,4,108.8
37,Resort Hotel,70,2015,July,27,3,2,5,137.0
38,Resort Hotel,45,2015,July,27,3,2,5,117.81
39,Resort Hotel,45,2015,July,27,3,2,5,79.5
40,Resort Hotel,16,2015,July,27,3,2,5,123.0
41,Resort Hotel,107,2015,July,27,5,2,7,110.7
42,Resort Hotel,47,2015,July,27,5,2,7,153.0
43,Resort Hotel,96,2015,July,27,5,2,7,58.95
44,Resort Hotel,113,2015,July,27,5,2,7,82.88
45,Resort Hotel,90,2015,July,27,5,2,7,82.35
46,Resort Hotel,50,2015,July,27,5,2,7,119.35
47,Resort Hotel,113,2015,July,27,5,2,7,67.58
48,Resort Hotel,93,2015,July,27,8,3,11,56.01
49,Resort Hotel,76,2015,July,27,10,4,14,110.7
50,Resort Hotel,3,2015,July,27,1,0,1,88.2
51,Resort Hotel,1,2015,July,27,1,0,1,147.0
52,Resort Hotel,1,2015,July,27,1,0,1,107.0
53,Resort Hotel,0,2015,July,27,1,0,1,147.0
54,Resort Hotel,0,2015,July,27,1,0,1,117.9
55,Resort Hotel,0,2015,July,27,1,0,1,123.0
56,Resort Hotel,14,2015,July,27,2,0,2,98.0
57,Resort Hotel,10,2015,July,27,2,0,2,117.81
58,Resort Hotel,5,2015,July,27,2,0,2,135.0
59,Resort Hotel,17,2015,July,27,3,0,3,133.0
60,Resort Hotel,93,2015,July,27,3,0,3,58.95
61,Resort Hotel,3,2015,July,27,3,0,3,136.33
62,Resort Hotel,10,2015,July,27,2,0,2,153.0
63,Resort Hotel,3,2015,July,27,2,0,2,110.5
64,Resort Hotel,51,2015,July,27,2,0,2,97.0
65,Resort Hotel,71,2015,July,27,2,0,2,110.3
66,Resort Hotel,63,2015,July,27,2,0,2,82.0
67,Resort Hotel,62,2015,July,27,2,0,2,97.0
68,Resort Hotel,101,2015,July,27,2,0,2,73.8
69,Resort Hotel,2,2015,July,27,2,0,2,91.5
70,Resort Hotel,15,2015,July,27,2,0,2,114.5
71,Resort Hotel,51,2015,July,27,2,0,2,110.3
72,Resort Hotel,3,2015,July,27,2,1,3,90.9
73,Resort Hotel,48,2015,July,27,2,1,3,123.0
74,Resort Hotel,2,2015,July,27,2,2,4,122.0
75,Resort Hotel,72,2015,July,27,2,2,4,110.7
76,Resort Hotel,81,2015,July,27,6,2,8,85.86
77,Resort Hotel,99,2015,July,27,7,2,9,58.95
78,Resort Hotel,365,2015,July,27,7,3,10,55.68
79,Resort Hotel,364,2015,July,27,7,3,10,55.68
80,Resort Hotel,81,2015,July,27,7,3,10,124.0
81,Resort Hotel,99,2015,July,27,7,3,10,111.15
82,Resort Hotel,324,2015,July,27,10,4,14,134.73
83,Resort Hotel,69,2015,July,27,10,4,14,92.45
84,Resort Hotel,79,2015,July,27,15,6,21,108.73
85,Resort Hotel,12,2015,July,27,1,0,1,73.8
86,Resort Hotel,9,2015,July,27,1,0,1,98.0
87,Resort Hotel,1,2015,July,27,1,0,1,131.0
88,Resort Hotel,21,2015,July,27,1,0,1,123.0
89,Resort Hotel,9,2015,July,27,1,0,1,94.71
90,Resort Hotel,109,2015,July,27,1,0,1,123.0
91,Resort Hotel,109,2015,July,27,2,0,2,123.0
92,Resort Hotel,72,2015,July,27,2,0,2,73.8
93,Resort Hotel,63,2015,July,27,5,2,7,117.0
94,Resort Hotel,63,2015,July,27,5,2,7,196.54
95,Resort Hotel,101,2015,July,27,5,2,7,99.3
96,Resort Hotel,102,2015,July,27,5,2,7,90.95
97,Resort Hotel,4,2015,July,27,1,2,3,92.67
98,Resort Hotel,98,2015,July,27,1,2,3,71.55
99,Resort Hotel,92,2015,July,27,4,2,6,96.49
100,Resort Hotel,95,2015,July,27,4,2,6,85.8
101,Resort Hotel,102,2015,July,27,5,2,7,96.3
102,Resort Hotel,26,2015,July,27,5,2,7,163.0
103,Resort Hotel,73,2015,July,27,5,2,7,172.0
104,Resort Hotel,102,2015,July,27,5,2,7,110.7
105,Resort Hotel,115,2015,July,27,5,2,7,58.95
106,Resort Hotel,102,2015,July,27,5,2,7,73.8
107,Resort Hotel,86,2015,July,27,5,2,7,97.0
108,Resort Hotel,78,2015,July,27,5,2,7,139.0
109,Resort Hotel,52,2015,July,27,5,2,7,67.24
110,Resort Hotel,29,2015,July,27,6,2,8,116.5
111,Resort Hotel,101,2015,July,27,6,2,8,96.3
112,Resort Hotel,109,2015,July,27,6,2,8,123.0
113,Resort Hotel,92,2015,July,27,6,4,10,71.55
114,Resort Hotel,92,2015,July,27,6,4,10,71.55
115,Resort Hotel,79,2015,July,27,6,4,10,149.0
116,Resort Hotel,2,2015,July,27,1,0,1,163.0
117,Resort Hotel,30,2015,July,27,1,0,1,79.5
118,Resort Hotel,51,2015,July,27,1,0,1,105.0
119,Resort Hotel,36,2015,July,27,1,0,1,123.0
120,Resort Hotel,73,2015,July,27,1,0,1,73.8
121,Resort Hotel,33,2015,July,27,1,0,1,113.0
122,Resort Hotel,32,2015,July,27,1,0,1,0.0
123,Resort Hotel,8,2015,July,27,1,0,1,123.0
124,Resort Hotel,100,2015,July,27,1,1,2,73.8
125,Resort Hotel,1,2015,July,27,1,1,2,114.5
126,Resort Hotel,100,2015,July,27,1,1,2,73.8
127,Resort Hotel,100,2015,July,27,1,1,2,73.8
128,Resort Hotel,9,2015,July,28,0,1,1,88.2
129,Resort Hotel,5,2015,July,28,0,1,1,97.0
130,Resort Hotel,0,2015,July,28,0,1,1,85.1
131,Resort Hotel,9,2015,July,28,0,1,1,89.0
132,Resort Hotel,2,2015,July,28,0,1,1,80.1
133,Resort Hotel,2,2015,July,28,0,1,1,98.0
